 Mean Wind SpeedMPH, Max Gust SpeedMPH, WindDirDegrees
8,20,252
2,9,331
7,38,98
6,20,150
7,32,127
7,31,154
5,19,143
5,19,149
10,33,189
6,15,267
7,21,285
6,13,145
7,29,157
9,33,187
10,27,268
10,30,201
12,31,292
6,29,248
8,28,177
15,46,294
5,23,323
4,17,323
6,27,318
5,14,253
5,20,164
7,31,282
5,29,139
8,32,173
8,33,167
5,24,327
5,18,204
5,21,162
4,20,156
6,19,163
11,33,186
8,31,289
13,40,289
8,30,216
7,33,205
12,46,317
7,25,237
9,34,279
10,33,275
9,28,249
6,22,206
7,37,12
6,24,88
8,28,161
13,58,250
7,24,158
11,32,295
7,19,136
13,54,183
14,40,267
11,35,203
8,31,129
7,29,1
9,35,
8,38,291
6,22,265
5,15,152
5,14,129
10,31,221
8,33,172
7,22,309
7,29,279
6,20,269
7,21,256
6,14,156
7,27,155
4,20,168
8,20,338
6,12,270
5,16,134
5,14,129
7,25,169
7,30,232
5,37,91
6,39,4
7,20,254
5,17,149
4,22,257
5,15,131
6,22,142
5,45,188
4,15,107
8,38,207
6,25,300
7,43,245
7,21,310
5,15,213
7,48,14
4,24,330
6,26,127
7,27,128
5,31,117
7,32,137
6,27,331
5,28,342
5,24,136
9,25,317
7,35,320
5,22,117
4,31,16
8,29,340
7,33,267
6,34,65
6,20,296
7,27,283
8,32,293
9,30,218
6,49,224
6,26,118
5,18,57
4,13,125
6,39,173
4,28,222
5,47,290
4,24,63
8,38,255
9,28,277
6,19,252
4,15,140
5,17,77
5,29,168
7,42,278
6,22,357
6,17,70
5,16,123
3,11,347
4,36,297
4,14,98
7,27,150
6,27,187
4,15,214
7,24,24
6,30,329
4,13,210
5,19,90
6,22,297
7,24,188
8,30,212
6,24,224
6,28,205
5,21,125
8,32,301
8,26,309
5,17,125
4,14,305
5,15,181
6,29,152
5,18,174
7,20,171
6,24,150
5,26,199
5,19,131
5,24,136
5,15,150
4,23,124
6,27,113
8,42,137
4,18,146
4,17,334
4,12,224
7,33,173
6,22,293
5,21,224
6,42,318
6,24,334
7,25,250
5,16,154
6,34,101
6,46,122
5,33,180
6,20,300
12,25,286
4,19,345
4,13,149
4,15,127
6,21,113
5,17,143
7,42,121
6,17,151
6,24,116
3,18,169
5,20,143
8,29,299
4,13,166
4,15,152
4,13,139
5,24,170
6,30,303
6,20,254
7,26,296
5,19,285
3,14,148
4,12,192
2,16,254
3,14,160
5,23,141
4,14,167
7,20,141
8,26,188
4,15,141
3,12,245
4,11,223
4,32,144
6,24,170
7,22,162
8,23,204
6,26,338
6,24,358
4,17,171
6,22,189
5,17,229
10,34,304
3,11,135
7,27,236
7,25,252
9,31,203
5,18,155
5,14,124
4,25,71
2,10,187
7,49,233
6,19,294
5,13,130
6,22,153
11,49,194
4,15,126
3,9,181
6,17,177
3,12,153
5,16,146
10,53,193
5,26,136
7,32,212
6,26,262
4,14,164
11,30,247
9,27,260
5,11,125
7,29,216
2,10,310
4,21,219
9,43,165
9,26,277
3,13,133
8,33,203
8,24,227
5,30,173
11,36,271
4,12,177
12,37,313
7,20,186
5,22,199
3,10,140
3,7,125
2,12,278
3,10,180
2,8,220
2,9,172
2,8,140
3,10,172
2,8,148
4,12,163
12,41,273
11,28,263
11,37,274
5,30,335
2,11,354
8,31,184
8,43,224
11,31,265
2,9,240
3,12,157
3,12,197
3,9,221
2,14,109
3,10,149
5,25,153
6,18,200
3,11,140
4,15,170
3,11,187
6,27,159
6,22,127
7,22,83
7,18,
5,13,
2,9,114
3,12,141
3,9,136
4,17,126
4,12,141
9,38,276
5,27,351
3,9,149
5,17,37
5,24,203
3,8,160
3,11,163
6,22,229
7,17,258
3,12,199
1,8,187
3,10,157
4,10,220
5,28,270
3,9,256
2,8,273
6,19,310
3,13,64
6,24,218
3,8,124
2,9,186
3,16,266
1,7,53
3,9,114
3,11,159
4,15,156
11,32,255
4,16,125
8,34,255
6,31,236
3,21,53
5,10,140
3,12,128
4,13,116
5,14,124
4,11,164
4,11,153
3,12,157
4,12,12
4,10,149
4,9,132
5,20,279
1,7,254
6,31,96
7,25,271
3,13,258
7,29,179
10,33,230
14,44,204
9,32,188
8,36,230
6,26,291
4,14,148
4,10,132
4,12,127
6,27,293
6,20,283
6,25,318
3,14,175
4,13,136
4,20,240
4,27,304
10,27,264
6,14,158
3,9,155
3,16,145
9,26,305
6,19,186
4,20,262
5,14,262
8,20,252
